epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1321.89,0.48083,0.87212,0.13595,0.29466,0.89304,0.98235,0.9725,0.98927,0.84743,0.97123,0.93011,0.95268,0.77831,0.59819,1.13839,0.12317,0.28994,0.77539,0.0002525,0.0002525,0.0002525
42,1354.84,0.47748,0.8771,0.13342,0.29524,0.88794,0.98439,0.97196,0.98929,0.84986,0.97649,0.93909,0.96072,0.78656,0.59029,1.11085,0.12135,0.28791,0.77624,0.000246313,0.000246313,0.000246313
43,1387.89,0.46894,0.84818,0.1328,0.28728,0.88281,0.98963,0.96711,0.98851,0.85452,0.96679,0.93422,0.93948,0.7623,0.57889,1.18443,0.12149,0.28177,0.7737,0.000240125,0.000240125,0.000240125
44,1420.47,0.47428,0.85677,0.13159,0.29004,0.88678,0.98545,0.97472,0.98887,0.85886,0.98071,0.94034,0.96051,0.79654,0.58025,1.0755,0.12428,0.27508,0.77071,0.000233938,0.000233938,0.000233938
45,1452.71,0.47037,0.86118,0.13654,0.28824,0.88613,0.98751,0.96917,0.9883,0.85271,0.97295,0.94245,0.95967,0.80009,0.59731,1.04982,0.12313,0.28437,0.77376,0.00022775,0.00022775,0.00022775
46,1485.25,0.47142,0.85379,0.13365,0.29186,0.8873,0.98868,0.97328,0.98974,0.85294,0.98177,0.94109,0.95882,0.77611,0.58923,1.12591,0.11961,0.28151,0.774,0.000221562,0.000221562,0.000221562
47,1517.48,0.46655,0.8504,0.13128,0.28779,0.88679,0.99159,0.9699,0.9894,0.84161,0.97644,0.94347,0.95755,0.78307,0.61863,1.09709,0.12099,0.28156,0.77645,0.000215375,0.000215375,0.000215375
48,1550.09,0.46402,0.83857,0.13238,0.28583,0.88671,0.98478,0.9702,0.98876,0.87477,0.97743,0.93471,0.95864,0.78993,0.53265,1.08528,0.12411,0.27002,0.76568,0.000209188,0.000209188,0.000209188
49,1582.63,0.46126,0.82916,0.13069,0.28483,0.88526,0.98647,0.97409,0.9887,0.86499,0.97149,0.94543,0.95878,0.78839,0.55021,1.061,0.12149,0.26947,0.76748,0.000203,0.000203,0.000203
50,1614.81,0.46045,0.80956,0.13042,0.28059,0.88476,0.99367,0.96763,0.98866,0.84671,0.97461,0.94142,0.95933,0.79217,0.59677,1.063,0.11837,0.28175,0.77454,0.000196812,0.000196812,0.000196812
51,1647.07,0.45553,0.81833,0.12955,0.28115,0.88222,0.99316,0.97122,0.98909,0.85823,0.97068,0.93936,0.95664,0.78318,0.56326,1.07829,0.11861,0.26937,0.76862,0.000190625,0.000190625,0.000190625
52,1678.24,0.46099,0.80396,0.1297,0.28295,0.88397,0.99265,0.97184,0.98896,0.86267,0.97453,0.94382,0.95967,0.79994,0.55074,1.04472,0.12063,0.2693,0.76595,0.000184438,0.000184438,0.000184438
53,1710.49,0.4537,0.81648,0.13113,0.28064,0.88386,0.99368,0.9702,0.98887,0.84859,0.97882,0.94656,0.96089,0.7923,0.59716,1.04496,0.11866,0.27427,0.77333,0.00017825,0.00017825,0.00017825
54,1742.61,0.44979,0.79739,0.12797,0.27752,0.88054,0.98949,0.96788,0.9886,0.87249,0.97524,0.94142,0.95968,0.78866,0.53331,1.0534,0.11901,0.25975,0.76342,0.000172063,0.000172063,0.000172063
