epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16248.5,1.00458,3.54527,0.32226,0.85435,1.1801,0.83544,0.78511,0.87298,0.66068,0.81208,0.7034,0.76081,0.46389,0.87828,2.65565,0.30532,0.7481,1.0781,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,16759.1,0.99842,3.54115,0.32223,0.84983,1.17824,0.83573,0.78569,0.87428,0.66136,0.81212,0.70435,0.76142,0.46512,0.87669,2.64789,0.30482,0.74619,1.07709,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,17337.5,0.99746,3.50605,0.32023,0.84844,1.17643,0.83885,0.78674,0.87487,0.6622,0.80503,0.7097,0.76121,0.46638,0.87532,2.6428,0.30424,0.74465,1.07624,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,17943.2,0.9954,3.48334,0.31911,0.84324,1.17486,0.83419,0.79047,0.87543,0.66304,0.80851,0.70828,0.76249,0.46781,0.87338,2.63623,0.30365,0.74177,1.07468,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,18539.2,0.9925,3.46385,0.31859,0.83846,1.17089,0.83375,0.79282,0.87613,0.66379,0.81056,0.71017,0.76469,0.46796,0.87182,2.62897,0.30302,0.73902,1.07353,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,19125.5,0.98664,3.43469,0.31656,0.83095,1.16733,0.83452,0.79314,0.87697,0.66483,0.80988,0.71221,0.76627,0.4692,0.87031,2.62034,0.30247,0.73641,1.07239,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,19715.3,0.98178,3.4208,0.31609,0.82853,1.16506,0.83477,0.79314,0.87727,0.66568,0.80866,0.7146,0.76808,0.47065,0.86949,2.61429,0.3019,0.7346,1.07181,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,20297.4,0.97802,3.38328,0.3136,0.82228,1.16338,0.8367,0.79062,0.87815,0.6667,0.80957,0.71489,0.7689,0.47152,0.86812,2.60802,0.3013,0.73195,1.07084,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,20882.6,0.97596,3.37036,0.31357,0.81976,1.16168,0.83834,0.79113,0.87858,0.66705,0.81535,0.71174,0.77006,0.47333,0.86742,2.60099,0.3006,0.72959,1.07012,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,21476.7,0.9168,2.86796,0.30733,0.71738,1.12593,0.83982,0.7914,0.87978,0.66819,0.81831,0.71332,0.77171,0.47495,0.8661,2.59393,0.29987,0.72451,1.06909,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,22050.1,0.90873,2.82929,0.30524,0.70523,1.12094,0.84148,0.79224,0.88087,0.66918,0.81871,0.71521,0.77292,0.47651,0.86543,2.58924,0.29892,0.71931,1.06864,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,22623.8,0.90191,2.79927,0.30379,0.69631,1.11806,0.84555,0.7955,0.88214,0.67056,0.82029,0.71584,0.77413,0.47867,0.86409,2.58339,0.29815,0.71474,1.0678,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,23198.1,0.89539,2.76295,0.30224,0.68872,1.11227,0.84395,0.79777,0.88389,0.6724,0.82198,0.71694,0.77545,0.48025,0.86296,2.5763,0.29724,0.71043,1.06702,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,23773,0.88886,2.72903,0.30056,0.68138,1.11052,0.84541,0.79817,0.88516,0.67364,0.81745,0.7233,0.778,0.48137,0.8613,2.57129,0.29649,0.70641,1.06553,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,24350.5,0.88256,2.69079,0.29894,0.67402,1.10537,0.8466,0.79936,0.88597,0.67484,0.82395,0.71899,0.77741,0.48259,0.85988,2.56553,0.29577,0.7027,1.06442,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,24927.4,0.87645,2.65522,0.29762,0.66626,1.10181,0.84861,0.80038,0.88702,0.67605,0.82147,0.72276,0.77886,0.48372,0.85931,2.56134,0.29504,0.70038,1.06376,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,25503.1,0.87002,2.63033,0.29652,0.66064,1.09684,0.84952,0.79991,0.88754,0.67727,0.82332,0.72408,0.78118,0.48483,0.8586,2.55617,0.29422,0.69819,1.06329,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,26077.8,0.86428,2.59401,0.29512,0.65463,1.09376,0.85237,0.79897,0.88848,0.67769,0.82482,0.72371,0.78235,0.48573,0.85777,2.55144,0.29355,0.6961,1.06261,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,26655.4,0.86098,2.56504,0.29453,0.64815,1.09178,0.85105,0.79849,0.88905,0.67859,0.82534,0.72434,0.78265,0.48593,0.85689,2.54932,0.29296,0.69467,1.06187,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
